"","iteration","avg..fps","avg..polys","avg..models","Env","BFC","FVC","ZC","activeAlgorithms"
"204",14,5.496747,51533342,4193,"DYNAMIC",0,1,0,1
"205",15,4.977309,36896900,3002,"DYNAMIC",0,1,0,1
"206",16,5.314045,52010044,4232,"DYNAMIC",0,1,0,1
"207",17,5.189147,47406359,3857,"DYNAMIC",0,1,0,1
"208",18,5.211491,59003624,4801,"DYNAMIC",0,1,0,1
"209",19,5.536643,59536413,4845,"DYNAMIC",0,1,0,1
"210",20,6.161923,55469292,4514,"DYNAMIC",0,1,0,1
"211",21,6.074804,54962648,4472,"DYNAMIC",0,1,0,1
"212",22,6.109347,52745137,4292,"DYNAMIC",0,1,0,1
"213",23,6.090836,52059082,4236,"DYNAMIC",0,1,0,1
"214",24,6.097701,57862575,4708,"DYNAMIC",0,1,0,1
"215",25,6.083816,57691513,4694,"DYNAMIC",0,1,0,1
"216",26,6.10357,56182999,4572,"DYNAMIC",0,1,0,1
"217",27,6.138611,50480049,4108,"DYNAMIC",0,1,0,1
"218",28,6.139136,52447447,4268,"DYNAMIC",0,1,0,1
"219",29,6.184209,45278129,3684,"DYNAMIC",0,1,0,1
"220",30,5.709715,55451989,4512,"DYNAMIC",0,1,0,1
"221",NA,NA,NA,NA,"DYNAMIC",0,1,0,1
"222",32,5.809044,44318830,3606,"DYNAMIC",0,1,0,1
"223",33,6.10742,62573331,5092,"DYNAMIC",0,1,0,1
"224",34,6.070705,56266105,4578,"DYNAMIC",0,1,0,1
"225",35,6.044471,52304344,4256,"DYNAMIC",0,1,0,1
"226",36,6.037655,61159639,4977,"DYNAMIC",0,1,0,1
"227",37,6.088725,50911074,4143,"DYNAMIC",0,1,0,1
"228",38,5.965222,57513013,4680,"DYNAMIC",0,1,0,1
"229",1,15.93964,96000000,15625,"DENSE",1,0,0,1
"230",2,15.873529,96000000,15625,"DENSE",1,0,0,1
"231",3,16.188469,96000000,15625,"DENSE",1,0,0,1
"232",4,16.114166,96000000,15625,"DENSE",1,0,0,1
"233",5,15.857436,96000000,15625,"DENSE",1,0,0,1
"234",6,15.965958,96000000,15625,"DENSE",1,0,0,1
"235",7,15.917927,96000000,15625,"DENSE",1,0,0,1
"236",8,15.917866,96000000,15625,"DENSE",1,0,0,1
"237",9,15.931123,96000000,15625,"DENSE",1,0,0,1
"238",10,16.122139,96000000,15625,"DENSE",1,0,0,1
"239",11,16.049135,96000000,15625,"DENSE",1,0,0,1
"240",12,16.013939,96000000,15625,"DENSE",1,0,0,1
"241",13,15.991754,96000000,15625,"DENSE",1,0,0,1
"242",14,15.978672,96000000,15625,"DENSE",1,0,0,1
"243",15,15.702277,96000000,15625,"DENSE",1,0,0,1
"244",16,16.022989,96000000,15625,"DENSE",1,0,0,1
"245",17,15.943041,96000000,15625,"DENSE",1,0,0,1
"246",18,16.193518,96000000,15625,"DENSE",1,0,0,1
"247",19,17.108715,96000000,15625,"DENSE",1,0,0,1
"248",20,15.875601,96000000,15625,"DENSE",1,0,0,1
"249",21,15.997387,96000000,15625,"DENSE",1,0,0,1
"250",22,16.188337,96000000,15625,"DENSE",1,0,0,1
"251",23,16.956947,96000000,15625,"DENSE",1,0,0,1
"252",24,16.389975,96000000,15625,"DENSE",1,0,0,1
"253",25,16.154455,96000000,15625,"DENSE",1,0,0,1
"254",26,15.806998,96000000,15625,"DENSE",1,0,0,1
"255",27,15.476627,96000000,15625,"DENSE",1,0,0,1
"256",28,15.493299,96000000,15625,"DENSE",1,0,0,1
"257",29,15.804638,96000000,15625,"DENSE",1,0,0,1
"258",30,16.400911,96000000,15625,"DENSE",1,0,0,1
"259",31,16.321505,96000000,15625,"DENSE",1,0,0,1
"260",32,16.0846,96000000,15625,"DENSE",1,0,0,1
"261",33,16.204628,96000000,15625,"DENSE",1,0,0,1
"262",34,16.166258,96000000,15625,"DENSE",1,0,0,1
"263",35,16.164381,96000000,15625,"DENSE",1,0,0,1
"264",36,16.069197,96000000,15625,"DENSE",1,0,0,1
"265",37,17.185518,96000000,15625,"DENSE",1,0,0,1
"266",38,16.026033,96000000,15625,"DENSE",1,0,0,1
"267",1,17.126034,96000000,15625,"SPARSE",1,0,0,1
"268",2,17.165098,96000000,15625,"SPARSE",1,0,0,1
"269",3,17.113914,96000000,15625,"SPARSE",1,0,0,1
"270",4,17.165443,96000000,15625,"SPARSE",1,0,0,1
"271",5,17.707363,92365800,15033,"SPARSE",1,0,0,1
"272",6,17.109848,96000000,15625,"SPARSE",1,0,0,1
"273",7,17.134481,96000000,15625,"SPARSE",1,0,0,1
"274",8,17.307377,96000000,15625,"SPARSE",1,0,0,1
"275",9,17.316084,96000000,15625,"SPARSE",1,0,0,1
"276",10,17.300829,96000000,15625,"SPARSE",1,0,0,1
"277",11,17.237888,96000000,15625,"SPARSE",1,0,0,1
"278",12,16.780005,96000000,15625,"SPARSE",1,0,0,1
"279",13,17.053524,96000000,15625,"SPARSE",1,0,0,1
"280",14,17.123184,96000000,15625,"SPARSE",1,0,0,1
"281",15,17.161608,96000000,15625,"SPARSE",1,0,0,1
"282",16,17.108818,96000000,15625,"SPARSE",1,0,0,1
"283",17,17.055389,96000000,15625,"SPARSE",1,0,0,1
"284",18,17.106665,96000000,15625,"SPARSE",1,0,0,1
"285",19,17.140339,96000000,15625,"SPARSE",1,0,0,1
"286",20,17.162605,96000000,15625,"SPARSE",1,0,0,1
"287",21,17.00382,96000000,15625,"SPARSE",1,0,0,1
"288",22,17.112717,96000000,15625,"SPARSE",1,0,0,1
"289",23,17.104305,96000000,15625,"SPARSE",1,0,0,1
"290",24,17.290321,96000000,15625,"SPARSE",1,0,0,1
"291",25,17.027784,96000000,15625,"SPARSE",1,0,0,1
"292",26,17.261189,96000000,15625,"SPARSE",1,0,0,1
"293",27,16.953238,96000000,15625,"SPARSE",1,0,0,1
"294",28,17.05793,96000000,15625,"SPARSE",1,0,0,1
"295",29,17.300571,96000000,15625,"SPARSE",1,0,0,1
"296",30,16.853163,95991976,15623,"SPARSE",1,0,0,1
"297",31,16.855827,95952250,15617,"SPARSE",1,0,0,1
"298",32,15.77361,96000000,15625,"SPARSE",1,0,0,1
"299",33,16.931173,96000000,15625,"SPARSE",1,0,0,1
"300",34,16.866875,96000000,15625,"SPARSE",1,0,0,1
"301",35,16.888868,96000000,15625,"SPARSE",1,0,0,1
"302",36,16.889465,96000000,15625,"SPARSE",1,0,0,1
"303",37,16.890144,96000000,15625,"SPARSE",1,0,0,1
"304",38,17.239138,96000000,15625,"SPARSE",1,0,0,1
"305",1,16.819607,96000000,15625,"DYNAMIC",1,0,0,1
"306",2,16.816956,96000000,15625,"DYNAMIC",1,0,0,1
"307",3,16.647102,96000000,15625,"DYNAMIC",1,0,0,1
"308",4,16.763807,96000000,15625,"DYNAMIC",1,0,0,1
"309",5,17.109236,96000000,15625,"DYNAMIC",1,0,0,1
"310",6,17.0959,96000000,15625,"DYNAMIC",1,0,0,1
"311",7,17.226534,96000000,15625,"DYNAMIC",1,0,0,1
"312",8,16.783627,96000000,15625,"DYNAMIC",1,0,0,1
"313",9,16.733068,96000000,15625,"DYNAMIC",1,0,0,1
"314",10,16.765703,96000000,15625,"DYNAMIC",1,0,0,1
"315",11,16.841967,96000000,15625,"DYNAMIC",1,0,0,1
"316",12,16.833698,96000000,15625,"DYNAMIC",1,0,0,1
"317",13,16.887503,96000000,15625,"DYNAMIC",1,0,0,1
"318",14,16.752537,96000000,15625,"DYNAMIC",1,0,0,1
"319",15,16.890423,96000000,15625,"DYNAMIC",1,0,0,1
"320",16,16.894463,96000000,15625,"DYNAMIC",1,0,0,1
"321",17,17.043331,96000000,15625,"DYNAMIC",1,0,0,1
"322",18,17.005117,96000000,15625,"DYNAMIC",1,0,0,1
"323",19,16.890554,96000000,15625,"DYNAMIC",1,0,0,1
"324",20,17.06547,96000000,15625,"DYNAMIC",1,0,0,1
"325",21,17.049568,96000000,15625,"DYNAMIC",1,0,0,1
"326",22,16.105574,96000000,15625,"DYNAMIC",1,0,0,1
"327",23,16.881115,96000000,15625,"DYNAMIC",1,0,0,1
"328",24,17.069649,96000000,15625,"DYNAMIC",1,0,0,1
"329",25,16.02882,96000000,15625,"DYNAMIC",1,0,0,1
"330",26,16.770594,96000000,15625,"DYNAMIC",1,0,0,1
